17	ترون	TRON	TRX	0.064191	21,000	0.86%	1401/04/2 13:01
19	شیبا اینو	SHIBA INU	SHIB	1e-05	3	11.11%	1401/04/2 13:01
20	یو ان یو اس سد لئو	UNUS SED LEO	LEO	5.93	1,935,700	2.95%	1401/04/2 12:57
21	رپد بیت کوین	Wrapped Bitcoin	WBTC	20550.73	6,708,374,800	1.91%	1401/04/2 13:01
22	آوالانچ	Avalanche	AVAX	17.5	5,712,500	6.58%	1401/04/2 13:01
24	یوکَش	yOUcash	YOUC	0.500112	163,300	0.02%	1401/04/2 13:01
25	پالیگان	Polygon	MATIC	0.503914	164,500	8.86%	1401/04/2 13:01
26	لایت کوین	Litecoin	LTC	55.58	18,143,000	6.99%	1401/04/2 13:01
27	یونی سواپ	Uniswap	UNI	5.25	1,713,800	1.35%	1401/04/2 13:01
28	Lido Staked ETH	Lido Staked ETH	STETH	1042.31	340,241,300	2.30%	1401/04/2 13:01
29	اف تی ایکس توکن	FTX Token	FTT	25.86	8,441,500	1.02%	1401/04/2 13:01
30	چین لینک	Chainlink	LINK	6.98	2,278,500	5.12%	1401/04/2 13:01
31	Cronos	Cronos	CRO	0.118764	38,800	2.89%	1401/04/2 13:01
32	استلار	Stellar	XLM	0.117012	38,200	2.94%	1401/04/2 13:01
34	نیر پروتکل	NEAR Protocol	NEAR	3.45	1,126,200	3.29%	1401/04/2 12:54
35	بیت تورنت	BitTorrent	BTT	0.002329	800	0.00%	1401/04/2 13:01
36	الگوراند	Algorand	ALGO	0.323486	105,600	0.81%	1401/04/2 13:01
37	بیت کوین کش	Bitcoin Cash	BCH	116.69	38,091,100	1.48%	1401/04/2 13:01
38	کازماز	Cosmos	ATOM	7.7	2,513,500	4.90%	1401/04/2 13:01
39	بیتکوین بی ای پی 2	Bitcoin BEP2	BTCB	20543.19	6,705,913,500	1.56%	1401/04/2 13:01
40	مونرو	Monero	XMR	116.81	38,130,300	1.86%	1401/04/2 13:01
41	اتریوم کلاسیک	Ethereum Classic	ETC	15.66	5,111,900	1.75%	1401/04/2 13:01
42	Chain	Chain	XCN	0.087578	28,600	1.55%	1401/04/2 13:01
43	وی چین	VeChain	VET	0.023678	7,700	2.52%	1401/04/2 13:01
44	دیسنترالند	Decentraland	MANA	0.884544	288,700	4.63%	1401/04/2 13:01
45	فلو	Flow	FLOW	1.57	512,500	5.37%	1401/04/2 13:01
46	هدِرا	Hedera	HBAR	0.073208	23,900	1.46%	1401/04/2 13:01
47	فرکس	Frax	FRAX	1.0	326,400	0.14%	1401/04/2 13:01
48	اینترنت کامپیوتر	Internet Computer	ICP	5.71	1,863,900	2.15%	1401/04/2 13:01
49	الروند	Elrond	EGLD	59.25	19,341,000	0.14%	1401/04/2 13:01
50	Toncoin	Toncoin	TON	1.07	349,300	0.00%	1401/04/2 12:36
51	فایل کوین	Filecoin	FIL	5.82	1,899,800	3.01%	1401/04/2 13:01
53	تتا نتورک	Theta Network	THETA	1.28	417,800	3.23%	1401/04/2 12:40
54	ایپ کوین	APEcoin	APE	4.28	1,397,100	3.88%	1401/04/2 13:01
55	هلیوم	Helium	HNT	10.59	3,456,900	4.33%	1401/04/2 12:59
56	تزوس	Tezos	XTZ	1.41	460,300	2.92%	1401/04/2 13:01
57	د سندباکس	The Sandbox	SAND	0.99208	323,800	3.50%	1401/04/2 13:01
59	بیت کوین اس وی	Bitcoin SV	BSV	63.04	20,578,100	0.72%	1401/04/2 13:01
60	اکسی اینفینیتی	Axie Infinity	AXS	14.58	4,759,300	3.48%	1401/04/2 13:01
61	رپد ان بی ان	Wrapped BNB	WBNB	222.7	72,696,000	2.72%	1401/04/2 13:01
62	کوکوین توکن	KuCoin Token	KCS	10.49	3,424,300	0.57%	1401/04/2 12:59
63	ایاس	EOS	EOS	0.962904	314,300	2.99%	1401/04/2 13:01
64	پکس دالر	Pax Dollar	USDP	1.01	329,700	1.17%	1401/04/2 13:01
65	زد کش	Zcash	ZEC	64.66	21,107,000	0.14%	1401/04/2 13:01
66	آوه	Aave	AAVE	67.94	22,177,700	5.56%	1401/04/2 13:01
67	میکر	Maker	MKR	933.91	304,856,200	0.83%	1401/04/2 13:01
69	میوتا	IOTA	MIOTA	0.300014	97,900	2.06%	1401/04/2 13:01
70	هوبی بی تی اس	Huobi BTC	HBTC	20576.99	6,716,946,800	2.12%	1401/04/2 13:01
71	هوبی توکن	Huobi Token	HT	5.19	1,694,200	0.78%	1401/04/2 13:01
74	نوترینو یو اس دی	Neutrino USD	USDN	0.994681	324,700	0.37%	1401/04/2 13:01
75	 د گراف	The Graph	GRT	0.111747	36,500	4.80%	1401/04/2 13:01
77	ای کش	eCash	XEC	3.8e-05	12	2.70%	1401/04/2 09:01
